Location,Current_Date,HCHO_reading,LATITUDE,LONGITUDE,ELEVATION,Precipitation,Average_Temperature
Colombo Proper,2019-01-01,0.00019698343957810148,6.9,79.867,7.0,0.0,81
Colombo Proper,2019-01-02,0.00026255221719685945,6.9,79.867,7.0,0.0,78
Colombo Proper,2019-01-03,9.852118897938794e-05,6.9,79.867,7.0,0.0,81
Colombo Proper,2019-01-04,0.0002099320518114242,6.9,79.867,7.0,0.0,81
Colombo Proper,2019-01-05,0.00017853372988929305,6.9,79.867,7.0,0.0,81
Colombo Proper,2019-01-06,0.00010822967002356709,6.9,79.867,7.0,0.0,81
Colombo Proper,2019-01-07,0.000359186346017419,6.9,79.867,7.0,0.0,81
Colombo Proper,2019-01-08,9.153156350685351e-05,6.9,79.867,7.0,0.0,82
Colombo Proper,2019-01-09,0.00012059789928530154,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-01-10,0.00012977235629832586,6.9,79.867,7.0,0.0,82
Colombo Proper,2019-01-11,0.00022391881668012785,6.9,79.867,7.0,0.0,82
Colombo Proper,2019-01-12,0.00015694180941787597,6.9,79.867,7.0,0.0,82
Colombo Proper,2019-01-13,0.00013362919068626037,6.9,79.867,7.0,0.0,82
Colombo Proper,2019-01-14,0.00013362919068626037,6.9,79.867,7.0,0.52,82
Colombo Proper,2019-01-15,6.374417842690063e-05,6.9,79.867,7.0,0.06,81
Colombo Proper,2019-01-16,0.00011810622508150202,6.9,79.867,7.0,0.0,82
Colombo Proper,2019-01-17,0.00024725552224230375,6.9,79.867,7.0,0.0,79
Colombo Proper,2019-01-18,3.667525352047757e-05,6.9,79.867,7.0,0.0,79
Colombo Proper,2019-01-19,0.000359186346017419,6.9,79.867,7.0,0.0,78
Colombo Proper,2019-01-20,0.00016878562164797227,6.9,79.867,7.0,0.0,79
Colombo Proper,2019-01-21,0.000359186346017419,6.9,79.867,7.0,0.0,80
Colombo Proper,2019-01-22,0.0003282922940445869,6.9,79.867,7.0,0.0,80
Colombo Proper,2019-01-23,0.00021477981446919994,6.9,79.867,7.0,0.0,80
Colombo Proper,2019-01-24,0.0002347245196410463,6.9,79.867,7.0,0.0,82
Colombo Proper,2019-01-25,0.0002820915300341781,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-01-26,0.00025072634930884313,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-01-27,0.00019732884353144639,6.9,79.867,7.0,0.02,82
Colombo Proper,2019-01-28,0.0002555121674807678,6.9,79.867,7.0,0.0,80
Colombo Proper,2019-01-29,0.00017136357360104896,6.9,79.867,7.0,0.0,81
Colombo Proper,2019-01-30,0.00017136357360104896,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-01-31,0.00015238021190236035,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-02-01,0.0003537610010169976,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-02-02,0.00027557289956433526,6.9,79.867,7.0,0.0,82
Colombo Proper,2019-02-03,0.000231884649807831,6.9,79.867,7.0,0.0,82
Colombo Proper,2019-02-04,0.000359186346017419,6.9,79.867,7.0,0.0,80
Colombo Proper,2019-02-05,0.000359186346017419,6.9,79.867,7.0,2.78,80
Colombo Proper,2019-02-06,0.00034306636315394306,6.9,79.867,7.0,0.09,80
Colombo Proper,2019-02-07,0.0002123314538243048,6.9,79.867,7.0,0.0,82
Colombo Proper,2019-02-09,0.000359186346017419,6.9,79.867,7.0,0.85,80
Colombo Proper,2019-02-10,0.00026508191712748373,6.9,79.867,7.0,1.44,82
Colombo Proper,2019-02-11,0.0001981789630254356,6.9,79.867,7.0,0.0,82
Colombo Proper,2019-02-12,5.8587178500602015e-05,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-02-13,0.00025428059514763155,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-02-14,0.0002239912172577585,6.9,79.867,7.0,0.0,81
Colombo Proper,2019-02-15,0.0002239912172577585,6.9,79.867,7.0,0.49,82
Colombo Proper,2019-02-16,0.00020914931598496443,6.9,79.867,7.0,0.0,81
Colombo Proper,2019-02-17,0.0001262731392288914,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-02-18,0.00022551463184464676,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-02-19,0.00031807866985063325,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-02-20,0.0002720768387394868,6.9,79.867,7.0,0.52,82
Colombo Proper,2019-02-21,0.0002230429464187653,6.9,79.867,7.0,0.0,82
Colombo Proper,2019-02-22,0.0003148949841717713,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-02-23,0.0003274182238715349,6.9,79.867,7.0,0.0,82
Colombo Proper,2019-02-24,0.00023629898517163697,6.9,79.867,7.0,0.0,82
Colombo Proper,2019-02-25,0.00024246754293039564,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-02-26,0.00015645974892604218,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-02-27,0.00015420168428773197,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-02-28,0.00022700677098335732,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-03-01,0.00029341402764377007,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-03-02,0.00029341402764377007,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-03-03,0.00029341402764377007,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-03-04,0.00022223214977413986,6.9,79.867,7.0,0.01,82
Colombo Proper,2019-03-05,0.000359186346017419,6.9,79.867,7.0,0.17,84
Colombo Proper,2019-03-06,0.00013585195849200602,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-03-07,0.00020238073036288453,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-03-08,0.00016442381643673925,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-03-09,0.0002969609827467505,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-03-10,0.0002969609827467505,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-03-11,0.00024013090505699768,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-03-12,0.0002577451751777237,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-03-13,0.0002548286008604607,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-03-14,0.0003018449398759976,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-03-15,0.00017905427550157188,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-03-16,0.0003507194301071738,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-03-17,0.0002494769497451432,6.9,79.867,7.0,0.01,81
Colombo Proper,2019-03-18,0.00020745903350836688,6.9,79.867,7.0,0.46,83
Colombo Proper,2019-03-19,0.00020745903350836688,6.9,79.867,7.0,0.91,83
Colombo Proper,2019-03-20,0.0002559950022304003,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-03-21,0.0002689655073385781,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-03-22,0.0002689655073385781,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-03-23,0.00014400555083803182,6.9,79.867,7.0,0.06,81
Colombo Proper,2019-03-24,0.00022044583732254788,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-03-25,0.0003577663287879659,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-03-26,0.0002631266925609883,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-03-27,0.000359186346017419,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-03-28,0.000359186346017419,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-03-29,0.0002540006405394258,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-03-30,0.00022021868954248615,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-03-31,0.00011557746067544699,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-04-01,0.00012349321748669244,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-04-02,0.0002688230247372582,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-04-03,0.00024014170630941398,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-04-04,0.00024014170630941398,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-04-05,0.00016940115779261132,6.9,79.867,7.0,0.0,87
Colombo Proper,2019-04-06,0.00010304050274417024,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-04-07,0.0001799434891600914,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-04-08,0.0001938136388473303,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-04-09,0.0002005766244694444,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-04-10,0.00020450661303659292,6.9,79.867,7.0,0.0,87
Colombo Proper,2019-04-11,0.0002787301089676465,6.9,79.867,7.0,0.0,86
Colombo Proper,2019-04-12,0.0002500758492520154,6.9,79.867,7.0,0.0,86
Colombo Proper,2019-04-13,0.000334870158729018,6.9,79.867,7.0,0.19,85
Colombo Proper,2019-04-14,0.00019278190631266765,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-04-15,0.00019278190631266765,6.9,79.867,7.0,0.64,83
Colombo Proper,2019-04-16,0.00019278190631266765,6.9,79.867,7.0,0.17,81
Colombo Proper,2019-04-17,0.00019278190631266765,6.9,79.867,7.0,0.99,83
Colombo Proper,2019-04-18,0.00019278190631266765,6.9,79.867,7.0,0.99,82
Colombo Proper,2019-04-19,0.0001442130580330848,6.9,79.867,7.0,0.22,85
Colombo Proper,2019-04-20,0.0001442130580330848,6.9,79.867,7.0,0.0,81
Colombo Proper,2019-04-21,0.00014541672849998114,6.9,79.867,7.0,0.4,83
Colombo Proper,2019-04-22,0.00017112056955932386,6.9,79.867,7.0,0.4,82
Colombo Proper,2019-04-24,0.00013993829563996405,6.9,79.867,7.0,0.86,85
Colombo Proper,2019-04-25,9.581443666026757e-05,6.9,79.867,7.0,0.0,81
Colombo Proper,2019-04-26,9.747576626042275e-05,6.9,79.867,7.0,2.05,84
Colombo Proper,2019-04-27,9.747576626042275e-05,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-04-28,9.747576626042275e-05,6.9,79.867,7.0,0.0,86
Colombo Proper,2019-04-30,9.747576626042275e-05,6.9,79.867,7.0,0.43,83
Colombo Proper,2019-05-01,9.747576626042275e-05,6.9,79.867,7.0,1.15,87
Colombo Proper,2019-05-02,0.00010087245522254383,6.9,79.867,7.0,0.04,85
Colombo Proper,2019-05-03,0.00010087245522254383,6.9,79.867,7.0,0.03,83
Colombo Proper,2019-05-04,0.00010087245522254383,6.9,79.867,7.0,0.02,86
Colombo Proper,2019-05-05,3.904429319723554e-05,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-05-06,3.904429319723554e-05,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-05-07,0.00011748760394396071,6.9,79.867,7.0,0.0,86
Colombo Proper,2019-05-08,0.0001013037943240832,6.9,79.867,7.0,0.0,87
Colombo Proper,2019-05-09,9.939428098153852e-05,6.9,79.867,7.0,0.0,86
Colombo Proper,2019-05-10,0.00012536415827108134,6.9,79.867,7.0,0.0,87
Colombo Proper,2019-05-11,0.0001274753051841466,6.9,79.867,7.0,0.0,86
Colombo Proper,2019-05-12,8.802823548435995e-05,6.9,79.867,7.0,0.41,85
Colombo Proper,2019-05-13,2.4982204901168622e-05,6.9,79.867,7.0,0.02,87
Colombo Proper,2019-05-14,0.00018104380224156247,6.9,79.867,7.0,0.33,86
Colombo Proper,2019-05-15,0.00013942917244611674,6.9,79.867,7.0,0.0,86
Colombo Proper,2019-05-16,0.00011713672290272948,6.9,79.867,7.0,0.0,86
Colombo Proper,2019-05-17,0.0001095084478863608,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-05-18,9.525618991159471e-05,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-05-19,8.700221402162398e-05,6.9,79.867,7.0,0.04,86
Colombo Proper,2019-05-20,0.000359186346017419,6.9,79.867,7.0,0.0,86
Colombo Proper,2019-05-21,0.00021712476841732458,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-05-22,0.00021712476841732458,6.9,79.867,7.0,1.66,81
Colombo Proper,2019-05-23,0.00021712476841732458,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-05-24,0.00018978350675731903,6.9,79.867,7.0,1.63,82
Colombo Proper,2019-05-25,0.00018978350675731903,6.9,79.867,7.0,0.33,83
Colombo Proper,2019-05-26,0.00011078022387005001,6.9,79.867,7.0,0.03,84
Colombo Proper,2019-05-27,0.00013688992504868347,6.9,79.867,7.0,0.1,86
Colombo Proper,2019-05-28,0.00016599673795501176,6.9,79.867,7.0,0.0,87
Colombo Proper,2019-05-29,-2.056808215846379e-05,6.9,79.867,7.0,0.22,86
Colombo Proper,2019-05-30,0.00021793239461453438,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-05-31,9.379307690791867e-05,6.9,79.867,7.0,0.06,85
Colombo Proper,2019-06-01,7.067572073902713e-05,6.9,79.867,7.0,0.0,86
Colombo Proper,2019-06-02,0.0001658041001064703,6.9,79.867,7.0,0.17,85
Colombo Proper,2019-06-03,0.0001609821398171031,6.9,79.867,7.0,0.12,83
Colombo Proper,2019-06-04,8.42250633206326e-05,6.9,79.867,7.0,0.64,85
Colombo Proper,2019-06-05,0.00012217992950528563,6.9,79.867,7.0,0.11,85
Colombo Proper,2019-06-06,0.00012217992950528563,6.9,79.867,7.0,0.07,84
Colombo Proper,2019-06-07,0.00012217992950528563,6.9,79.867,7.0,0.38,84
Colombo Proper,2019-06-08,0.00012217992950528563,6.9,79.867,7.0,0.32,84
Colombo Proper,2019-06-09,0.000184304139111191,6.9,79.867,7.0,0.08,82
Colombo Proper,2019-06-10,8.17687223806277e-05,6.9,79.867,7.0,2.91,79
Colombo Proper,2019-06-11,8.17687223806277e-05,6.9,79.867,7.0,0.28,83
Colombo Proper,2019-06-12,0.00018806142907124013,6.9,79.867,7.0,1.39,82
Colombo Proper,2019-06-15,0.00016365620899872765,6.9,79.867,7.0,0.88,84
Colombo Proper,2019-06-16,0.00015344559889285574,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-06-17,0.00015344559889285574,6.9,79.867,7.0,0.18,85
Colombo Proper,2019-06-18,0.00015833081357305082,6.9,79.867,7.0,0.01,87
Colombo Proper,2019-06-19,0.00014507583946095476,6.9,79.867,7.0,0.0,87
Colombo Proper,2019-06-21,0.00014034976273987233,6.9,79.867,7.0,0.0,84
Colombo Proper,2019-06-23,1.9792269443138506e-05,6.9,79.867,7.0,0.28,84
Colombo Proper,2019-06-24,0.00028857390861958265,6.9,79.867,7.0,0.09,86
Colombo Proper,2019-06-25,0.00016989584102356363,6.9,79.867,7.0,0.15,86
Colombo Proper,2019-06-26,-1.718882776913233e-05,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-06-27,0.00012421568637187557,6.9,79.867,7.0,0.0,86
Colombo Proper,2019-06-28,8.171133330754701e-05,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-06-29,7.340520263976472e-05,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-06-30,2.0964513707570187e-05,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-07-01,8.969739342465703e-05,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-07-02,8.080856806689084e-05,6.9,79.867,7.0,0.02,85
Colombo Proper,2019-07-03,2.889810298407616e-05,6.9,79.867,7.0,0.04,85
Colombo Proper,2019-07-04,8.317285235618187e-05,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-07-05,9.391269191043181e-05,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-07-06,9.547040684925105e-06,6.9,79.867,7.0,0.0,85
Colombo Proper,2019-07-07,9.452725531817138e-07,6.9,79.867,7.0,0.0,86
Colombo Proper,2019-07-08,0.00016067791404394556,6.9,79.867,7.0,0.0,87
Colombo Proper,2019-07-09,5.047959159020286e-05,6.9,79.867,7.0,0.28,81
Colombo Proper,2019-07-10,5.047959159020286e-05,6.9,79.867,7.0,1.73,81
Colombo Proper,2019-07-11,6.685329661024943e-05,6.9,79.867,7.0,0.14,83
Colombo Proper,2019-07-12,0.00013527543386044277,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-07-13,9.32507996651824e-05,6.9,79.867,7.0,1.97,80
Colombo Proper,2019-07-14,9.32507996651824e-05,6.9,79.867,7.0,0.24,82
Colombo Proper,2019-07-15,9.32507996651824e-05,6.9,79.867,7.0,0.69,83
Colombo Proper,2019-07-16,9.32507996651824e-05,6.9,79.867,7.0,0.02,84
Colombo Proper,2019-07-17,9.77121531808704e-05,6.9,79.867,7.0,0.01,84
Colombo Proper,2019-07-18,9.77121531808704e-05,6.9,79.867,7.0,0.08,83
Colombo Proper,2019-07-19,9.77121531808704e-05,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-07-20,9.77121531808704e-05,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-07-21,0.0001328017366567373,6.9,79.867,7.0,0.0,83
Colombo Proper,2019-07-22,-1.0360142278733146e-05,6.9,79.867,7.0,0.0,83
